ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"4.14.120.230","elite","AS3356","US","Level 3","133","Mountain","39593","socks4","45","1","2023-06-12T16:28:49.018Z","100","2229","2230"
"197.234.13.90","elite","AS36902","SC","Intelvision","173","Intelvision Ltd","4145","socks4","989","1","2023-06-12T16:28:46.539Z","99","2163","2176"
"122.70.153.17","elite","AS24138","CN","China TieTong Telecommunications Corporation","385","China TieTong Telecommunications Corporation","80","socks4","46","1","2023-06-12T16:28:46.025Z","41","899","2213"
"91.203.25.28","elite","AS44827","UA","Bravoport","52","Bravoport Ltd","4153","socks4","1107","1","2023-06-12T16:28:46.445Z","79","1727","2197"
"190.211.161.210","elite","AS262589","CL","INTERNEXA Chile S.A","289","Tumundo Digital Telecomunicaciones SPA","32410","socks4","1197","1","2023-06-12T16:28:46.241Z","98","2201","2235"
"103.102.144.244","elite","AS135834","IN","Multicraft Digital Technologies Private Limited","282","Winista Technologies Private Limited","5678","socks4","1603","1","2023-06-12T16:28:45.143Z","96","2104","2202"
"46.167.238.54","elite","AS16019","CZ","UPC Czech","85","Tkom Plus sro, customers space","5678","socks5","1601","77","2023-06-12T16:28:45.950Z","99","2139","2151"
"186.251.255.177","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","229","Seanet Telecom Carazinho Eireli","31337","socks4","1611","1","2023-06-12T16:28:45.949Z","100","2225","2234"
"43.153.81.60","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","199","Tencent Cloud Computing","443","socks4","1010","2","2023-06-12T16:28:44.636Z","80","1760","2187"
"190.111.246.128","elite","AS11014","AR","CPS","295","CPS","80","socks4","1000","1","2023-06-12T16:28:44.669Z","97","2172","2235"
"203.28.8.65","elite","AS209242","CY","Cloudflare London, LLC","2","Lachtaristo Holdings Limited","80","socks4","426","1","2023-06-12T16:28:44.644Z","100","2196","2196"
"178.62.79.49","elite","AS14061","GB","DigitalOcean, LLC","18","Digital Ocean","16614","socks5","525","6","2023-06-12T16:28:44.635Z","100","2168","2171"
"110.77.145.159","elite","AS131090","TH","CAT-BB","286","N/A","4145","socks4","1212","2","2023-06-12T16:28:44.237Z","99","2208","2233"
"5.39.19.154","elite","AS16276","FR","OVH ISP","5","Caunes Sebastien","33427","socks4","698","1","2023-06-12T16:28:44.544Z","100","2227","2228"
"173.249.15.248","elite","AS51167","DE","Contabo GmbH","19","Contabo GmbH","33471","socks4","1289","1","2023-06-12T16:28:44.534Z","100","2188","2195"
"177.87.230.31","elite","AS262309","BR","BMBB SERVIÇOS DE COMUNICAÇÃO LTDA","206","BMBB SERVIÇOS DE COMUNICAÇÃO LTDA","43573","socks4","629","1","2023-06-12T16:28:44.979Z","100","2218","2229"
"170.80.91.3","elite","AS264820","CR","Corebases S.A","201","Corebases S.A","4145","socks4","1294","1","2023-06-12T16:28:44.540Z","100","2236","2238"
"72.250.17.184","elite","AS21928","US","T-Mobile USA, Inc.","188","T-Mobile USA, Inc.","39593","socks4","908","1","2023-06-12T16:28:44.815Z","17","367","2111"
"138.201.140.125","elite","AS24940","DE","Hetzner Online GmbH","96","Hetzner","15976","socks5","1101","1","2023-06-12T16:28:43.944Z","100","2223","2223"
"43.153.64.134","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","156","Tencent Cloud Computing","443","socks4","1691","3","2023-06-12T16:28:43.649Z","71","1546","2185"
"31.173.223.5","elite","AS31163","RU","PJSC MegaFon","83","N/A","4153","socks4","1501","1","2023-06-12T16:28:42.533Z","97","2142","2205"
"173.212.206.86","elite","AS51167","DE","Contabo GmbH","86","Contabo GmbH","55405","socks5","1191","1","2023-06-12T16:28:42.236Z","100","2101","2106"
